C,H0+H34+H35+H36+H39+H40
C021374,H0+H35
C022370,H35
C022371,H35
C022372,H35
C022373,H35
C022374,H0+H35
C023370,H35
C023371,H35
C023372,H35
C023373,H35
C023374,H0+H35
C023375,H0+H35
C024370,H35
C024371,H35
C024372,H35
C024373,H35
C024374,H35
C024375,H0+H35
C024376,H0+H35
C025370,H35
C025371,H35
C025372,H35
C025373,H35
C025374,H35
C025375,H35
C025376,H0+H35
C026370,H35
C026371,H35
C026372,H35
C026373,H35
C026374,H35
C026375,H35
C026376,H0+H35
C026377,H0+H35
C027370,H35
C027371,H35
C027372,H35
C027373,H35
C027374,H35
C027375,H35
C027376,H35
C027377,H0+H35
C027378,H0+H35
C028370,H35
C028371,H35
C028372,H35
C028373,H35
C028374,H35
C028375,H35
C028376,H0+H35
C028377,H0+H35
C028378,H0+H35
C029370,H35
C029371,H35
C029372,H35
C029373,H35
C029374,H35
C029375,H35
C029376,H0+H35
C029377,H0+H35
C0336,H0+H35
C030360,H35
C030361,H35
C030362,H35
C030363,H35
C030364,H35
C030365,H35
C030366,H35
C030367,H35
C030368,H35
C030369,H35
C031360,H35
C031361,H35
C031362,H35
C031363,H35
C031364,H35
C031365,H35
C031366,H35
C031367,H35
C031368,H35
C031369,H35
C032360,H35
C032361,H35
C032362,H35
C032363,H35
C032364,H35
C032365,H35
C032366,H35
C032367,H35
