M,H0+H9+H10+H15+H16+H17+H18+H24+H25+H26+H27+H28+H29
M007201,H0
M007202,H0
M007203,H0
M007204,H0
M007205,H0
M007206,H0
M007207,H0
M007208,H0+H16
M007209,H16
M008200,H0
M008201,H0
M008202,H0
M008203,H0
M008204,H0
M008205,H0
M008206,H0
M008207,H0
M008208,H0+H16
M008209,H16
M009200,H0
M009201,H0
M009202,H0
M009203,H0
M009204,H0
M009205,H0
M009206,H0
M009207,H0
M009208,H0+H16
M009209,H16
M0021,H16
M0120,H0+H16
M010200,H0
M010201,H0
M010202,H0
M010203,H0
M010204,H0
M010205,H0
M010206,H0
M010207,H0
M010208,H0+H16
M010209,H16
M011200,H0
M011201,H0
M011202,H0
M011203,H0
M011204,H0
M011205,H0
M011206,H0
M011207,H0+H16
M011208,H0+H16
M011209,H16
M012200,H0
M012201,H0
M012202,H0
M012203,H0
M012204,H0
M012205,H0
M012206,H0
M012207,H0+H16
M012208,H16
M012209,H16
M013200,H0
M013201,H0
M013202,H0
M013203,H0
M013204,H0
M013205,H0
M013206,H0
M013207,H0+H16
M013208,H16
M013209,H16
M014200,H0
M014201,H0
M014202,H0
M014203,H0
M014204,H0
M014205,H0
M014206,H0
M014207,H0+H16
M014208,H0+H16
M014209,H16
M015200,H0
M015201,H0
M015202,H0
M015203,H0
M015204,H0
M015205,H0
M015206,H0
M015207,H0+H16
M015208,H0+H16
M015209,H16
M016200,H0
M016201,H0
M016202,H0
M016203,H0
M016204,H0
M016205,H0+H16
M016206,H0+H16
M016207,H0+H16
M016208,H16
M016209,H16
M017200,H0
M017201,H0
M017202,H0
M017203,H0
M017204,H0
M017205,H0+H16
M017206,H16
M017207,H16
M017208,H16
M017209,H16
M018200,H0
M018201,H0
M018202,H0
M018203,H0
M018204,H0+H16
M018205,H0+H16
M018206,H16
M018207,H16
M018208,H16
M018209,H16
M019200,H0
M019201,H0
M019202,H0
M019203,H0
M019204,H0+H16
M019205,H16
M019206,H16
M019207,H16
M019208,H16
M019209,H16
M0121,H16
M02B,H16
M02C,H16
M02D,H16
M02E,H16
M02F,H0+H16
M0220,H0+H16
M020200,H0
M020201,H0
M020202,H0
M020203,H0
M020204,H0+H16
M020205,H0+H16
M020206,H16
M020207,H16
M020208,H16
M020209,H16
M021200,H0
M021201,H0
M021202,H0
M021203,H0
M021204,H0
M021205,H0+H16
M021206,H16
M021207,H16
M021208,H16
M021209,H16
M022200,H0
M022201,H0
M022202,H0
M022203,H0
M022204,H0
M022205,H0+H16
M022206,H0+H16
M022207,H16
M022208,H16
M022209,H16
M023200,H0
M023201,H0
M023202,H0
M023203,H0
M023204,H0
M023205,H0
M023206,H0+H16
M023207,H0+H16
M023208,H16
M023209,H16
M024200,H0
M024201,H0
M024202,H0
M024203,H0
M024204,H0
M024205,H0
M024206,H0
M024207,H0+H16
M024208,H0+H16
M024209,H16
M025200,H0
M025201,H0
M025202,H0
M025203,H0
M025204,H0
M025205,H0
M025206,H0
M025207,H0
M025208,H0+H16
M025209,H0+H16
M026200,H0
M026201,H0
M026202,H0
M026203,H0
M026204,H0
M026205,H0
M026206,H0
M026207,H0
M026208,H0
M026209,H0+H16
M027200,H0
M027201,H0
M027202,H0
M027203,H0
M027204,H0
M027205,H0
M027206,H0
M027207,H0
M027208,H0
M027209,H0
M028200,H0
M028201,H0
M028202,H0
M028203,H0
M028204,H0
M028205,H0
M028206,H0
M028207,H0
M028208,H0
M028209,H0
M029200,H0
M029201,H0
M029202,H0
M029203,H0
M029204,H0
M029205,H0
M029206,H0
M029207,H0
M029208,H0
M029209,H0
M0221,H0+H16
M020210,H16
M020211,H16
M020212,H16
M020213,H16
M020214,H16
M020215,H16
M020216,H16
M020217,H16
M020218,H16
M020219,H16
M021210,H16
M021211,H16
M021212,H16
M021213,H16
M021214,H16
M021215,H16
M021216,H16
M021217,H16
M021218,H16
M021219,H16
M022210,H16
M022211,H16
M022212,H16
M022213,H16
M022214,H16
M022215,H16
M022216,H16
M022217,H16
M022218,H16
M022219,H16
M023210,H16
M023211,H16
M023212,H16
M023213,H16
M023214,H16
M023215,H16
M023216,H16
M023217,H16
M023218,H16
M023219,H16
M024210,H16
M024211,H16
M024212,H16
M024213,H16
M024214,H16
M024215,H16
M024216,H16
M024217,H16
M024218,H16
M024219,H16
M025210,H16
M025211,H16
M025212,H16
M025213,H16
M025214,H16
M025215,H16
M025216,H16
M025217,H16
M025218,H16
M025219,H16
M026210,H0+H16
M026211,H16
M026212,H16
M026213,H16
M026214,H16
M026215,H16
M026216,H16
M026217,H16
M026218,H16
M026219,H16
M027210,H0+H16
M027211,H0+H16
