S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S056082,H6
S056083,H6
S056084,H6
S056085,H6
S056086,H6+H7
S056087,H6+H7
S056088,H6+H7
S056089,H7
S057080,H6
S057081,H6
S057082,H6
S057083,H6
S057084,H6
S057085,H6+H7
S057086,H6+H7
S057087,H7
S057088,H7
S057089,H7
S058080,H6
S058081,H6
S058082,H6
S058083,H6
S058084,H6+H7
S058085,H6+H7
S058086,H7
S058087,H7
S058088,H7
S058089,H7
S059080,H6
S059081,H6
S059082,H6
S059083,H6
S059084,H6+H7
S059085,H7
S059086,H7
S059087,H7
S059088,H7
S059089,H7
S0509,H6+H7
S050090,H6
S050091,H6
S050092,H6+H7
S050093,H7
S050094,H7
S050095,H7
S050096,H7
S050097,H7
S050098,H7
S050099,H7
S051090,H6
S051091,H6+H7
S051092,H6+H7
S051093,H7
S051094,H7
S051095,H7
S051096,H7
S051097,H7
S051098,H7
S051099,H7
S052090,H6
S052091,H6+H7
S052092,H7
S052093,H7
S052094,H7
S052095,H7
S052096,H7
S052097,H7
S052098,H7
S052099,H7
S053090,H6+H7
S053091,H6+H7
S053092,H7
S053093,H7
S053094,H7
S053095,H7
S053096,H7
S053097,H7
S053098,H7
S053099,H7
S054090,H6+H7
S054091,H7
S054092,H7
S054093,H7
S054094,H7
S054095,H7
S054096,H7
S054097,H7
S054098,H7
S054099,H7
S055090,H7
S055091,H7
S055092,H7
S055093,H7
S055094,H7
S055095,H7
S055096,H7
S055097,H7
S055098,H7
S055099,H7
S056090,H7
S056091,H7
S056092,H7
S056093,H7
S056094,H7
S056095,H7
S056096,H7
S056097,H7
S056098,H7
S056099,H7
S057090,H7
S057091,H7
S057092,H7
S057093,H7
S057094,H7
S057095,H7
S057096,H7
S057097,H7
S057098,H7
S057099,H7
S058090,H7
S058091,H7
S058092,H7
S058093,H7
S058094,H7
S058095,H7
S058096,H7
S058097,H7
S058098,H7
S058099,H7
S059090,H7
S059091,H7
S059092,H7
S059093,H7
S059094,H7
S059095,H7
S059096,H7
S059097,H7
S059098,H7
S059099,H7
S00Q,H6
S00R,H6
S00S,H6
S00T,H6
S00U,H6+H7
S0608,H6+H7
S060080,H6
S060081,H6
S060082,H6
S060083,H6
S060084,H6+H7
S060085,H7
S060086,H7
S060087,H7
S060088,H7
S060089,H7
S061080,H6
S061081,H6
S061082,H6
S061083,H6
S061084,H6+H7
S061085,H7
S061086,H7
S061087,H7
S061088,H7
S061089,H7
S062080,H6
S062081,H6
S062082,H6
S062083,H6
S062084,H6+H7
S062085,H7
S062086,H7
S062087,H7
S062088,H7
S062089,H7
S063080,H6
S063081,H6
S063082,H6
S063083,H6
S063084,H6+H7
S063085,H7
S063086,H7
S063087,H7
S063088,H7
S063089,H7
S064080,H6
S064081,H6
S064082,H6
S064083,H6
S064084,H6+H7
S064085,H7
S064086,H7
S064087,H7
S064088,H7
S064089,H7
S065080,H6
S065081,H6
S065082,H6
S065083,H6+H7
S065084,H6+H7
S065085,H7
S065086,H7
S065087,H7
S065088,H7
S065089,H7
S066080,H6
S066081,H6
S066082,H6
S066083,H6+H7
S066084,H7
S066085,H7
S066086,H7
S066087,H7
S066088,H7
S066089,H7
S067080,H6
S067081,H6
S067082,H6
S067083,H6+H7
S067084,H7
S067085,H7
S067086,H7
S067087,H7
S067088,H7
S067089,H7
S068080,H6
S068081,H6
S068082,H6
S068083,H6+H7
S068084,H7
S068085,H7
S068086,H7
S068087,H7
S068088,H7
S068089,H7
S069080,H6
S069081,H6
S069082,H6
S069083,H6+H7
S069084,H7
S069085,H7
S069086,H7
S069087,H7
S069088,H7
S069089,H7
S0609,H7
S0708,H6+H7
S070080,H6
S070081,H6
S070082,H6
S070083,H6+H7
S070084,H7
S070085,H7
S070086,H7
S070087,H7
S070088,H7
S070089,H7
S071080,H6
S071081,H6
S071082,H6
S071083,H6+H7
S071084,H7
S071085,H7
S071086,H7
S071087,H7
S071088,H7
S071089,H7
S072080,H6
S072081,H6
S072082,H6
S072083,H6+H7
S072084,H7
S072085,H7
S072086,H7
S072087,H7
S072088,H7
S072089,H7
S073080,H6
S073081,H6
S073082,H6
S073083,H6+H7
S073084,H7
S073085,H7
S073086,H7
S073087,H7
S073088,H7
S073089,H7
S074080,H6
S074081,H6
S074082,H6+H7
S074083,H6+H7
S074084,H7
S074085,H7
S074086,H7
S074087,H7
S074088,H7
S074089,H7
S075080,H6
S075081,H6
S075082,H6+H7
S075083,H7
S075084,H7
S075085,H7
S075086,H7
S075087,H7
S075088,H7
S075089,H7
S076080,H6
S076081,H6
S076082,H6+H7
S076083,H7
S076084,H7
S076085,H7
S076086,H7
S076087,H7
S076088,H7
S076089,H7
S077080,H6
S077081,H6
S077082,H6+H7
S077083,H7
S077084,H7
S077085,H7
S077086,H7
S077087,H7
S077088,H7
S077089,H7
S078080,H6
S078081,H6
S078082,H6+H7
S078083,H7
S078084,H7
S078085,H7
S078086,H7
S078087,H7
S078088,H7
S078089,H7
S079080,H6
S079081,H6
S079082,H6+H7
S079083,H7
S079084,H7
S079085,H7
S079086,H7
S079087,H7
S079088,H7
S079089,H7
S0709,H7
S00V,H6
S00W,H6
S00X,H6
S00Y,H6
S00Z,H6+H7
S0808,H6+H7
S080080,H6
S080081,H6
S080082,H6+H7
S080083,H7
S080084,H7
S080085,H7
S080086,H7
S080087,H7
S080088,H7
S080089,H7
S081080,H6
S081081,H6
S081082,H6+H7
S081083,H7
S081084,H7
S081085,H7
S081086,H7
S081087,H7
S081088,H7
S081089,H7
S082080,H6
S082081,H6
S082082,H6+H7
S082083,H7
S082084,H7
S082085,H7
S082086,H7
S082087,H7
S082088,H7
S082089,H7
S083080,H6
S083081,H6+H7
S083082,H6+H7
S083083,H7
S083084,H7
S083085,H7
S083086,H7
S083087,H7
S083088,H7
S083089,H7
S084080,H6
S084081,H6+H7
S084082,H7
S084083,H7
S084084,H7
S084085,H7
S084086,H7
S084087,H7
S084088,H7
S084089,H7
S085080,H6
S085081,H6+H7
S085082,H7
S085083,H7
S085084,H7
S085085,H7
S085086,H7
S085087,H7
S085088,H7
S085089,H7
S086080,H6
S086081,H6+H7
S086082,H7
S086083,H7
S086084,H7
S086085,H7
S086086,H7
S086087,H7
S086088,H7
S086089,H7
S087080,H6
S087081,H6+H7
S087082,H7
S087083,H7
S087084,H7
S087085,H7
S087086,H7
S087087,H7
S087088,H7
S087089,H7
S088080,H6
S088081,H6+H7
S088082,H7
S088083,H7
S088084,H7
S088085,H7
S088086,H7
S088087,H7
S088088,H7
S088089,H7
S089080,H6
S089081,H6+H7
S089082,H7
S089083,H7
S089084,H7
S089085,H7
S089086,H7
S089087,H7
S089088,H7
S089089,H7
S0809,H7
S0908,H6+H7
S090080,H6
S090081,H6+H7
S090082,H7
S090083,H7
S090084,H7
S090085,H7
S090086,H7
S090087,H7
S090088,H7
S090089,H7
S091080,H6
S091081,H6+H7
S091082,H7
S091083,H7
S091084,H7
S091085,H7
S091086,H7
S091087,H7
S091088,H7
S091089,H7
S092080,H6
S092081,H6+H7
S092082,H7
S092083,H7
S092084,H7
S092085,H7
S092086,H7
S092087,H7
S092088,H7
S092089,H7
S093080,H6
S093081,H6+H7
S093082,H7
S093083,H7
S093084,H7
S093085,H7
S093086,H7
S093087,H7
S093088,H7
S093089,H7
S094080,H6
S094081,H6+H7
S094082,H7
S094083,H7
S094084,H7
S094085,H7
S094086,H7
S094087,H7
S094088,H7
S094089,H7
S095080,H6
S095081,H6+H7
S095082,H7
S095083,H7
S095084,H7
S095085,H7
S095086,H7
S095087,H7
S095088,H7
S095089,H7
S096080,H6
S096081,H6+H7
S096082,H7
S096083,H7
S096084,H7
S096085,H7
S096086,H7
S096087,H7
S096088,H7
S096089,H7
S097080,H6
S097081,H6+H7
S097082,H7
S097083,H7
S097084,H7
S097085,H7
S097086,H7
S097087,H7
S097088,H7
S097089,H7
S098080,H6
S098081,H6+H7
S098082,H7
S098083,H7
S098084,H7
S098085,H7
S098086,H7
S098087,H7
S098088,H7
S098089,H7
S099080,H6+H7
S099081,H6+H7
S099082,H7
S099083,H7
S099084,H7
S099085,H7
S099086,H7
