T,H0+H12+H13+H20
T01R,H12
T01S,H12
T01T,H0+H12
T0616,H12
T0617,H12
T0716,H12
T0717,H0+H12
T070170,H12
T070171,H12
T070172,H12
T070173,H12
T070174,H12
T070175,H12
T070176,H12
T070177,H12
T070178,H12
T070179,H12
T071170,H12
T071171,H12
T071172,H12
T071173,H12
T071174,H12
T071175,H12
T071176,H12
T071177,H12
T071178,H12
T071179,H12
T072170,H12
T072171,H12
T072172,H12
T072173,H12
T072174,H12
T072175,H12
T072176,H12
T072177,H12
T072178,H12
T072179,H12
T073170,H12
T073171,H12
T073172,H12
T073173,H12
T073174,H12
T073175,H12
T073176,H12
T073177,H12
T073178,H12
T073179,H12
T074170,H12
T074171,H12
T074172,H12
T074173,H12
T074174,H12
T074175,H12
T074176,H12
T074177,H12
T074178,H12
T074179,H12
T075170,H12
T075171,H12
T075172,H12
T075173,H12
T075174,H12
T075175,H12
T075176,H12
T075177,H12
T075178,H12
T075179,H12
T076170,H12
T076171,H12
T076172,H12
T076173,H12
T076174,H12
T076175,H12
T076176,H12
T076177,H12
T076178,H12
T076179,H12
T077170,H12
T077171,H12
T077172,H12
T077173,H12
T077174,H12
T077175,H12
T077176,H12
T077177,H12
T077178,H12
T077179,H0+H12
T078170,H12
T078171,H12
T078172,H12
T078173,H12
T078174,H12
T078175,H12
T078176,H12
T078177,H12
T078178,H0+H12
T078179,H0+H12
T079170,H12
T079171,H12
T079172,H12
T079173,H12
T079174,H12
T079175,H12
T079176,H12
T079177,H0+H12
T079178,H0+H12
T079179,H0
T01U,H0+H12
T0618,H0+H12
T060180,H12
T060181,H12
T060182,H12
T060183,H0+H12
T060184,H0+H12
T060185,H0
T060186,H0
T060187,H0+H12
T060188,H0+H12
T060189,H0+H12
T061180,H12
T061181,H12
T061182,H12
T061183,H0+H12
T061184,H0
T061185,H0
T061186,H0
T061187,H0
T061188,H0
T061189,H0
T062180,H12
T062181,H12
T062182,H12
T062183,H0+H12
T062184,H0
T062185,H0
T062186,H0
T062187,H0
T062188,H0
T062189,H0
T063180,H12
T063181,H12
T063182,H12
T063183,H0+H12
T063184,H0
T063185,H0
T063186,H0
T063187,H0
T063188,H0
T063189,H0
T064180,H12
T064181,H12
T064182,H12
T064183,H0+H12
T064184,H0
T064185,H0
T064186,H0
T064187,H0
T064188,H0
T064189,H0
T065180,H12
T065181,H12
T065182,H12
T065183,H0+H12
T065184,H0+H12
T065185,H0
T065186,H0
T065187,H0
T065188,H0
T065189,H0
T066180,H12
T066181,H12
T066182,H12
T066183,H12
T066184,H0+H12
T066185,H0
T066186,H0
T066187,H0
T066188,H0
T066189,H0
T067180,H12
T067181,H12
T067182,H12
T067183,H0+H12
T067184,H0+H12
T067185,H0
T067186,H0
T067187,H0
T067188,H0
T067189,H0
T068180,H12
T068181,H12
T068182,H12
T068183,H0+H12
T068184,H0
T068185,H0
T068186,H0
T068187,H0
T068188,H0
T068189,H0
T069180,H12
T069181,H12
T069182,H12
T069183,H0+H12
T069184,H0
T069185,H0
T069186,H0
T069187,H0
T069188,H0
T069189,H0
T0619,H0
T0718,H0+H12
T070180,H12
T070181,H12
T070182,H12
T070183,H0+H12
T070184,H0
T070185,H0
T070186,H0
T070187,H0
T070188,H0
T070189,H0
T071180,H12
T071181,H12
T071182,H12
T071183,H0+H12
T071184,H0
T071185,H0
T071186,H0
T071187,H0
T071188,H0
T071189,H0
T072180,H12
T072181,H12
T072182,H0+H12
T072183,H0+H12
T072184,H0
T072185,H0
T072186,H0
T072187,H0
T072188,H0
T072189,H0
T073180,H12
T073181,H12
T073182,H0+H12
T073183,H0
T073184,H0
T073185,H0
T073186,H0
T073187,H0
T073188,H0
T073189,H0
T074180,H12
T074181,H0+H12
T074182,H0+H12
T074183,H0
T074184,H0
T074185,H0
T074186,H0
T074187,H0
T074188,H0
T074189,H0
T075180,H12
T075181,H0+H12
T075182,H0
T075183,H0
T075184,H0
T075185,H0
T075186,H0
T075187,H0
T075188,H0
T075189,H0
T076180,H0+H12
T076181,H0+H12
T076182,H0
T076183,H0
T076184,H0
T076185,H0
T076186,H0
T076187,H0
T076188,H0
T076189,H0
T077180,H0+H12
T077181,H0
T077182,H0
T077183,H0
T077184,H0
T077185,H0
T077186,H0
T077187,H0
T077188,H0
T077189,H0
T078180,H0
T078181,H0
T078182,H0
T078183,H0
T078184,H0
T078185,H0
T078186,H0
T078187,H0
T078188,H0
T078189,H0
T079180,H0
T079181,H0
T079182,H0
T079183,H0
T079184,H0
T079185,H0
T079186,H0
T079187,H0
T079188,H0
