L,H0+H9+H16+H27
L492652,H0+H16
L492653,H0
L492654,H0
L492655,H0
L492656,H0
L492657,H0
L492658,H0
L492659,H0
L493650,H16
L493651,H0+H16
L493652,H0+H16
L493653,H0
L493654,H0
L493655,H0
L493656,H0
L493657,H0
L493658,H0
L493659,H0
L494650,H16
L494651,H0+H16
L494652,H0+H16
L494653,H0
L494654,H0
L494655,H0
L494656,H0
L494657,H0
L494658,H0
L494659,H0
L495650,H0+H16
L495651,H0+H16
L495652,H0
L495653,H0
L495654,H0
L495655,H0
L495656,H0
L495657,H0
L495658,H0
L495659,H0
L496650,H0+H16
L496651,H0
L496652,H0
L496653,H0
L496654,H0
L496655,H0
L496656,H0
L496657,H0
L496658,H0
L496659,H0
L497650,H0+H16
L497651,H0
L497652,H0
L497653,H0
L497654,H0
L497655,H0
L497656,H0
L497657,H0
L497658,H0
L497659,H0
L498650,H0+H16
L498651,H0
L498652,H0
L498653,H0
L498654,H0
L498655,H0
L498656,H0
L498657,H0
L498658,H0
L498659,H0
L499650,H0+H16
L499651,H0
L499652,H0
L499653,H0
L499654,H0
L499655,H0
L499656,H0
L499657,H0
L499658,H0
L499659,H0
L46Y,H0
L46Z,H0
L47,H0
L48,H0
L49,H0
L50,H0
L51,H0
L52,H0
L53,H0+H16
L53SW,H0
L53NW,H0
L53SE,H0
L53NE,H0+H16
L53A,H0
L53B,H0
L53C,H0
L53D,H0
L53E,H0
L53F,H0
L53G,H0
L53H,H0
L53I,H0
L53J,H0
L53K,H0
L53L,H0
L53M,H0
L53N,H0
L53P,H0
L53Q,H0
L53R,H0
L53S,H0
L53T,H0
L53U,H0
L53V,H0
L53W,H0
L53X,H0
L53Y,H0
L53Z,H0+H16
L5838,H0
L5839,H0+H16
L580390,H0
L580391,H0
L580392,H0
L580393,H0
L580394,H0
L580395,H0
L580396,H0
L580397,H0
L580398,H0
L580399,H0
L581390,H0
L581391,H0
L581392,H0
L581393,H0
L581394,H0
L581395,H0
L581396,H0
L581397,H0
L581398,H0
L581399,H0
L582390,H0
L582391,H0
L582392,H0
L582393,H0
L582394,H0
L582395,H0
L582396,H0
L582397,H0
L582398,H0
L582399,H0+H16
L583390,H0
L583391,H0
L583392,H0
L583393,H0
L583394,H0
L583395,H0
L583396,H0
L583397,H0+H16
L583398,H0+H16
L583399,H0+H16
L584390,H0
L584391,H0
L584392,H0
L584393,H0
L584394,H0
L584395,H0
L584396,H0
L584397,H0+H16
L584398,H0+H16
L584399,H16
L585390,H0
L585391,H0
L585392,H0
L585393,H0
L585394,H0
L585395,H0
L585396,H0
L585397,H0+H16
L585398,H0+H16
L585399,H0+H16
L586390,H0
L586391,H0
L586392,H0
L586393,H0
L586394,H0
L586395,H0
L586396,H0
L586397,H0
L586398,H0
L586399,H0+H16
L587390,H0
L587391,H0
L587392,H0
L587393,H0
L587394,H0
L587395,H0
L587396,H0
L587397,H0
L587398,H0
L587399,H0
L588390,H0
L588391,H0
L588392,H0
L588393,H0
L588394,H0
L588395,H0
L588396,H0
L588397,H0
L588398,H0
L588399,H0
L589390,H0
L589391,H0
L589392,H0
L589393,H0
L589394,H0
L589395,H0
L589396,H0
L589397,H0
L589398,H0
L589399,H0
L5938,H0
L5939,H0
L54,H0+H16
L54SW,H0+H16
L54NW,H0
L54SE,H0+H16
L54NE,H0+H16
L54A,H0+H16
L5040,H0
L5041,H0
L5140,H0+H16
L510400,H0
L510401,H0
L510402,H0
L510403,H0
L510404,H0
L510405,H0
L510406,H0
L510407,H0
L510408,H0
L510409,H0
L511400,H0
L511401,H0
L511402,H0
L511403,H0
L511404,H0
L511405,H0
L511406,H0
L511407,H0
L511408,H0
L511409,H0
L512400,H0
L512401,H0
L512402,H0
L512403,H0
L512404,H0
L512405,H0
L512406,H0
L512407,H0
L512408,H0
L512409,H0
L513400,H0
L513401,H0
L513402,H0
L513403,H0
L513404,H0
L513405,H0
L513406,H0
L513407,H0
L513408,H0
L513409,H0
L514400,H0
L514401,H0
L514402,H0
L514403,H0
L514404,H0
L514405,H0
L514406,H0
L514407,H0
L514408,H0
L514409,H0+H16
L515400,H0
L515401,H0
L515402,H0
L515403,H0
L515404,H0
L515405,H0
L515406,H0
L515407,H0
L515408,H0+H16
L515409,H0+H16
L516400,H0
L516401,H0
L516402,H0
L516403,H0
L516404,H0
L516405,H0
L516406,H0
L516407,H0
L516408,H0+H16
L516409,H16
L517400,H0
L517401,H0
L517402,H0
L517403,H0
L517404,H0
L517405,H0
L517406,H0
L517407,H0
L517408,H0+H16
L517409,H16
L518400,H0
L518401,H0
L518402,H0
L518403,H0
L518404,H0
L518405,H0
L518406,H0
L518407,H0
L518408,H0+H16
L518409,H0+H16
L519400,H0
L519401,H0
L519402,H0
L519403,H0
L519404,H0
L519405,H0
L519406,H0
L519407,H0
L519408,H0+H16
L519409,H0+H16
L5141,H0+H16
L510410,H0
L510411,H0
L510412,H0
L510413,H0
L510414,H0
L510415,H0
L510416,H0
L510417,H0
L510418,H0
L510419,H0
L511410,H0
L511411,H0
L511412,H0
L511413,H0
L511414,H0
L511415,H0
L511416,H0
L511417,H0
L511418,H0
L511419,H0
L512410,H0
L512411,H0
L512412,H0
L512413,H0
L512414,H0
L512415,H0
L512416,H0
L512417,H0
L512418,H0
L512419,H0
L513410,H0+H16
L513411,H0+H16
L513412,H0+H16
L513413,H0
L513414,H0
L513415,H0
L513416,H0
L513417,H0
L513418,H0
L513419,H0
L514410,H0+H16
L514411,H16
L514412,H0+H16
L514413,H0
L514414,H0
L514415,H0
L514416,H0
L514417,H0
L514418,H0
L514419,H0
L515410,H16
L515411,H16
L515412,H0+H16
L515413,H0
L515414,H0
L515415,H0
L515416,H0
L515417,H0
L515418,H0
L515419,H0
L516410,H16
L516411,H0+H16
L516412,H0+H16
L516413,H0
L516414,H0
L516415,H0
L516416,H0
L516417,H0
L516418,H0
L516419,H0
L517410,H16
L517411,H0+H16
L517412,H0
L517413,H0
L517414,H0
L517415,H0
L517416,H0
L517417,H0
L517418,H0
L517419,H0
L518410,H0+H16
L518411,H0+H16
L518412,H0
L518413,H0
L518414,H0
