X,H0+H5+H6+H12
X048729,H0+H5
X049720,H5
X049721,H0+H5
X049722,H0+H5
X049723,H0+H5
X049724,H0+H5
X049725,H0+H5
X049726,H0+H5
X049727,H0
X049728,H0+H5
X049729,H0+H5
X0473,H0+H5
X040730,H5
X040731,H5
X040732,H5
X040733,H5
X040734,H5
X040735,H5
X040736,H5
X040737,H5
X040738,H5
X040739,H5
X041730,H5
X041731,H5
X041732,H5
X041733,H5
X041734,H5
X041735,H5
X041736,H5
X041737,H5
X041738,H5
X041739,H5
X042730,H5
X042731,H5
X042732,H5
X042733,H5
X042734,H5
X042735,H5
X042736,H5
X042737,H5
X042738,H5
X042739,H5
X043730,H5
X043731,H5
X043732,H5
X043733,H5
X043734,H5
X043735,H5
X043736,H5
X043737,H5
X043738,H5
X043739,H5
X044730,H5
X044731,H5
X044732,H5
X044733,H5
X044734,H5
X044735,H5
X044736,H5
X044737,H5
X044738,H5
X044739,H5
X045730,H5
X045731,H5
X045732,H5
X045733,H5
X045734,H5
X045735,H5
X045736,H5
X045737,H5
X045738,H5
X045739,H5
X046730,H5
X046731,H5
X046732,H5
X046733,H5
X046734,H5
X046735,H5
X046736,H5
X046737,H5
X046738,H5
X046739,H5
X047730,H0+H5
X047731,H0+H5
X047732,H0+H5
X047733,H0+H5
X047734,H0+H5
X047735,H0+H5
X047736,H0+H5
X047737,H0+H5
X047738,H0+H5
X047739,H5
X048730,H5
X048731,H5
X048732,H0+H5
X048733,H0+H5
X048734,H0+H5
X048735,H0+H5
X048736,H0+H5
X048737,H0+H5
X048738,H0+H5
X048739,H5
X049730,H5
X049731,H5
X049732,H5
X049733,H0+H5
X049734,H0+H5
X049735,H5
X049736,H5
X049737,H5
X049738,H5
X049739,H5
X0572,H0+H5
X050720,H0+H5
X050721,H0+H5
X050722,H0
X050723,H0+H5
X050724,H0
X050725,H0
X050726,H0
X050727,H0+H5
X050728,H0+H5
X050729,H5
X051720,H0+H5
X051721,H0
X051722,H0+H5
X051723,H0+H5
X051724,H0+H5
X051725,H0+H5
X051726,H0+H5
X051727,H0+H5
X051728,H5
X051729,H5
